date;speed;78;64011;64022;64033;64044;delta64011;delta64022;delta64033;delta64044;vodo;lat;lon;dir;alt;engine_speed;distance_gps;201;202;203;204;210;211;212;213;214;215;ain1;ain2
2022-08-10 12:22:55.000;0;72748132041865671;441;539;166;157;0;0;0;0;;52.3431416;30.9168483;129;115;0;0;931;0;1197;0;672;0;1640;0;941;0;x;
2022-08-10 12:22:58.000;0;72748132041865671;441;539;166;157;0;0;0;0;;52.3431416;30.9168483;129;115;0;0;931;0;1198;0;672;0;1640;0;941;0;x;
2022-08-10 12:23:01.000;0;72748132041865671;441;539;166;157;0;0;0;0;;52.3431416;30.9168483;129;115;0;0;932;0;1199;0;672;0;1640;0;941;0;x;
2022-08-10 12:23:04.000;0;72748132041865671;441;539;166;157;0;0;0;0;;52.3431416;30.9168483;129;115;0;0;932;0;1199;0;672;0;1640;0;941;0;x;
2022-08-10 12:23:07.000;0;72748132041865671;441;539;166;157;0;0;0;0;;52.3431416;30.9168483;129;115;0;0;934;0;1200;0;672;0;1640;0;941;0;x;
2022-08-10 12:23:10.000;0;72748132041866107;443;539;166;157;2;0;0;0;;52.3431416;30.9168483;129;115;0;0;934;0;1200;0;672;0;1641;0;941;0;x;
2022-08-10 12:23:13.000;0;72748132041866107;443;539;166;157;0;0;0;0;;52.3431416;30.9168483;129;115;0;0;936;0;1201;0;673;0;1641;0;941;0;x;
2022-08-10 12:23:16.000;9;72761326181403014;457;539;166;160;14;0;0;3;;52.3431000;30.9169266;130;115;0;0.007051;938;0;1201;0;673;0;1641;0;942;0;x;
2022-08-10 12:23:19.000;9;72765724227917049;468;539;166;161;11;0;0;1;;52.3430500;30.9170250;128;116;0;0.008697;938;0;1204;0;674;0;1643;0;942;0;x;
2022-08-10 12:23:22.000;7;72765724227926725;506;539;166;161;38;0;0;0;;52.3430066;30.9171150;128;116;0;0.007791;940;0;1204;0;674;0;1643;0;942;0;x;
